city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
San Miguel de Allende,uberX,rider_canceled,2022-08-28T01:23:03.000Z,,20.959116,-100.76379,,,20.91290366649628,-100.75915014743805,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",0.0,Mexican Peso,0.0
San Miguel de Allende,uberX,completed,2022-08-21T01:10:05.000Z,2022-08-21T01:27:57.000Z,20.91487,-100.7489,,2022-08-21T01:53:13.000Z,20.914833,-100.748825,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",3.29,Mexican Peso,115.04
San Miguel de Allende,uberX,completed,2022-08-20T21:23:01.000Z,2022-08-20T21:40:54.000Z,20.914862,-100.74893,,2022-08-20T21:56:03.000Z,20.921246,-100.764946,"Calle Lázaro Cárdenas 9, 37738 San Miguel de Allende, Guanajuato",1.76,Mexican Peso,57.12
San Miguel de Allende,uberX,rider_canceled,2022-08-20T19:44:43.000Z,,,,,,,,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",0.0,Mexican Peso,0.0
San Miguel de Allende,uberX,completed,2022-08-14T01:08:40.000Z,2022-08-14T01:30:35.000Z,20.915543,-100.743225,,2022-08-14T01:57:54.000Z,20.914396,-100.74932,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",3.28,Mexican Peso,96.36
San Miguel de Allende,UberX Promo,completed,2022-08-13T19:46:41.000Z,2022-08-13T19:58:08.000Z,20.914873,-100.748924,,2022-08-13T20:15:59.000Z,20.916813,-100.74454,"Calle Insurgentes 45, 37700 San Miguel de Allende, Guanajuato",2.67,Mexican Peso,65.3
San Miguel de Allende,uberX,completed,2022-08-06T14:24:03.000Z,2022-08-06T14:33:12.000Z,20.924692,-100.759,,2022-08-06T14:43:03.000Z,20.914837,-100.74898,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",1.68,Mexican Peso,38.67
San Miguel de Allende,uberX,completed,2022-07-30T15:10:30.000Z,2022-07-30T15:16:40.000Z,20.91479,-100.74902,,2022-07-30T15:25:51.000Z,20.924984,-100.758835,,1.76,Mexican Peso,38.55
San Miguel de Allende,uberX,completed,2022-07-30T01:10:31.000Z,2022-07-30T01:13:39.000Z,20.91488,-100.74888,,2022-07-30T01:41:55.000Z,20.91486,-100.7489,,3.48,Mexican Peso,84.07
San Miguel de Allende,uberX,rider_canceled,2022-07-30T00:55:52.000Z,,,,,,,,,0.0,Mexican Peso,0.0
San Miguel de Allende,uberX,completed,2022-07-18T00:55:13.000Z,2022-07-18T01:18:18.000Z,20.914846,-100.74894,,2022-07-18T01:35:45.000Z,20.91491,-100.748856,"Indio Triste 16, Zona Centro, 37700 San Miguel de Allende, Gto., México",2.5,Mexican Peso,80.86
